,loan_amnt,term_is_36,int_rate,grade,sub_grade,emp_length,annual_inc,purpose,addr_state,dti,inq_last_6mths,open_acc,pub_rec_bankruptcies,default
20,20250.0,0,0.1527,C,C4,3.0,43370.0,debt_consolidation,TX,0.26530000000000004,3.0,8.0,0,0
21,21000.0,1,0.1242,B,B4,10.0,105000.0,debt_consolidation,FL,0.1322,0.0,7.0,0,1
22,10000.0,1,0.11710000000000001,B,B3,10.0,50000.0,credit_card,TX,0.1118,0.0,8.0,0,0
23,10000.0,1,0.11710000000000001,B,B3,5.0,50000.0,debt_consolidation,CA,0.16010000000000002,0.0,6.0,0,0
24,6000.0,1,0.11710000000000001,B,B3,1.0,76000.0,major_purchase,CA,0.024,1.0,7.0,0,1
25,15000.0,1,0.09910000000000001,B,B1,2.0,92000.0,credit_card,IL,0.2944,0.0,8.0,0,0
27,5000.0,0,0.1677,D,D2,2.0,50004.0,other,PA,0.13970000000000002,0.0,14.0,0,1
28,4000.0,1,0.11710000000000001,B,B3,10.0,106000.0,debt_consolidation,FL,0.056299999999999996,0.0,12.0,0,0
29,8500.0,1,0.11710000000000001,B,B3,0.0,25000.0,credit_card,MN,0.1219,0.0,8.0,0,0
30,4375.0,1,0.0751,A,A3,7.0,17108.0,debt_consolidation,NY,0.2034,0.0,6.0,0,0
31,31825.0,1,0.079,A,A4,5.0,75000.0,debt_consolidation,NJ,0.14029999999999998,0.0,12.0,0,0
33,5000.0,1,0.08900000000000001,A,A5,2.0,24044.0,debt_consolidation,OR,0.1193,0.0,8.0,0,0
34,7000.0,1,0.15960000000000002,C,C5,7.0,34000.0,credit_card,CA,0.0635,1.0,6.0,0,0
35,12400.0,1,0.1065,B,B2,10.0,41000.0,credit_card,KY,0.11800000000000001,2.0,9.0,0,0
36,10800.0,1,0.09910000000000001,B,B1,2.0,55596.0,moving,CA,0.055,0.0,7.0,0,0
37,15000.0,1,0.079,A,A4,1.0,45000.0,debt_consolidation,OH,0.0848,0.0,7.0,0,0
38,6000.0,1,0.1242,B,B4,1.0,36852.0,debt_consolidation,AZ,0.10619999999999999,1.0,7.0,0,0
40,9600.0,1,0.0751,A,A3,4.0,68004.0,other,SC,0.0663,0.0,6.0,0,0
41,12000.0,1,0.079,A,A4,10.0,62300.0,debt_consolidation,NJ,0.16699999999999998,0.0,15.0,0,0
42,3000.0,1,0.1825,D,D5,9.0,65000.0,other,PA,0.1739,0.0,8.0,0,0
43,4400.0,1,0.1677,D,D2,10.0,55000.0,debt_consolidation,RI,0.20010000000000003,0.0,7.0,0,0
44,6000.0,1,0.0603,A,A1,10.0,45600.0,debt_consolidation,LA,0.053399999999999996,1.0,6.0,0,0
45,14000.0,1,0.09910000000000001,B,B1,6.0,80000.0,small_business,MA,0.1,1.0,7.0,0,0
46,5000.0,1,0.08900000000000001,A,A5,10.0,100000.0,debt_consolidation,OH,0.16329999999999997,0.0,17.0,0,1
47,10000.0,1,0.1065,B,B2,6.0,27000.0,other,NY,0.11470000000000001,0.0,7.0,0,0
48,10000.0,1,0.0603,A,A1,10.0,60000.0,credit_card,CT,0.1274,1.0,11.0,0,0
49,11000.0,1,0.0662,A,A2,5.0,70000.0,debt_consolidation,CT,0.1085,0.0,5.0,0,0
50,15000.0,1,0.09910000000000001,B,B1,8.0,80000.0,debt_consolidation,IL,0.09119999999999999,2.0,9.0,0,1
51,25600.0,1,0.09910000000000001,B,B1,9.0,110000.0,credit_card,CA,0.15710000000000002,0.0,11.0,0,0
52,7000.0,1,0.1065,B,B2,0.0,40000.0,debt_consolidation,CA,0.0738,0.0,7.0,0,0
53,12000.0,1,0.15960000000000002,C,C5,4.0,50000.0,car,CA,0.20879999999999999,2.0,11.0,0,1
54,12000.0,1,0.09910000000000001,B,B1,1.0,46000.0,credit_card,TX,0.08109999999999999,1.0,11.0,0,0
55,21000.0,0,0.1991,E,E4,7.0,50000.0,debt_consolidation,WA,0.2158,1.0,7.0,0,1
56,16000.0,0,0.1991,E,E4,7.0,81000.0,credit_card,MA,0.2052,3.0,12.0,0,0
57,10000.0,1,0.1242,B,B4,0.0,39000.0,debt_consolidation,OR,0.1858,0.0,5.0,0,0
58,10000.0,1,0.1065,B,B2,2.0,51400.0,credit_card,TX,0.19140000000000001,3.0,10.0,0,0
59,7100.0,1,0.1677,D,D2,1.0,33000.0,debt_consolidation,TX,0.24,2.0,4.0,0,0
60,13000.0,0,0.12689999999999999,B,B5,0.0,30000.0,debt_consolidation,NJ,0.13720000000000002,0.0,17.0,0,0
61,17500.0,0,0.1727,D,D3,6.0,40000.0,small_business,CA,0.19469999999999998,1.0,5.0,0,0
62,17675.0,0,0.1465,C,C3,0.0,50000.0,debt_consolidation,WI,0.1646,2.0,6.0,0,0
63,8000.0,1,0.1677,D,D2,0.0,62000.0,debt_consolidation,VA,0.2164,3.0,14.0,0,0
64,10000.0,0,0.1065,B,B2,10.0,45996.0,debt_consolidation,OH,0.2173,1.0,7.0,0,1
65,3500.0,1,0.1065,B,B2,7.0,55000.0,debt_consolidation,OH,0.053899999999999997,1.0,9.0,0,0
66,12500.0,0,0.1727,D,D3,5.0,30000.0,debt_consolidation,MN,0.1316,0.0,7.0,1,1
67,16425.0,1,0.1427,C,C2,4.0,44544.0,debt_consolidation,CA,0.2271,1.0,10.0,0,0
68,8200.0,0,0.21280000000000002,F,F2,4.0,75000.0,small_business,CA,0.12480000000000001,3.0,6.0,0,1
69,15000.0,1,0.1465,C,C3,2.0,61000.0,credit_card,FL,0.1188,1.0,8.0,0,0
70,20975.0,0,0.17579999999999998,D,D4,5.0,44000.0,credit_card,GA,0.18789999999999998,0.0,13.0,1,0
71,6400.0,1,0.1677,D,D2,5.0,75000.0,debt_consolidation,CA,0.2022,0.0,9.0,0,1
72,3000.0,1,0.1349,C,C1,1.0,33600.0,debt_consolidation,AL,0.18109999999999998,0.0,4.0,0,0
73,12000.0,1,0.1677,D,D2,3.0,50000.0,credit_card,MA,0.2057,1.0,13.0,0,0
74,14400.0,1,0.08900000000000001,A,A5,0.0,150000.0,debt_consolidation,NY,0.1485,0.0,12.0,0,0
75,12000.0,1,0.1465,C,C3,10.0,90000.0,debt_consolidation,NJ,0.1656,2.0,12.0,0,0
76,11000.0,1,0.1349,C,C1,10.0,48000.0,debt_consolidation,TX,0.2182,3.0,15.0,0,0
77,7250.0,0,0.2167,F,F3,0.0,75000.0,debt_consolidation,CA,0.2482,2.0,9.0,1,0
78,15000.0,1,0.079,A,A4,1.0,52000.0,small_business,TX,0.0965,1.0,11.0,0,0
79,18000.0,0,0.1991,E,E4,10.0,65000.0,debt_consolidation,FL,0.0681,0.0,10.0,0,0
80,35000.0,0,0.1727,D,D3,3.0,150000.0,home_improvement,NY,0.0751,1.0,11.0,0,0
81,10000.0,1,0.1427,C,C2,2.0,68000.0,credit_card,PA,0.1539,1.0,9.0,0,0
82,11800.0,1,0.12689999999999999,B,B5,6.0,42000.0,credit_card,NY,0.0986,0.0,4.0,0,0
83,4500.0,1,0.0603,A,A1,4.0,53000.0,major_purchase,CA,0.0444,0.0,7.0,0,0
84,7000.0,1,0.12689999999999999,B,B5,10.0,35000.0,credit_card,CA,0.11349999999999999,2.0,10.0,0,0
85,9200.0,1,0.1242,B,B4,2.0,60000.0,debt_consolidation,CA,0.1996,3.0,8.0,0,0
87,4500.0,0,0.1065,B,B2,0.0,42000.0,car,TX,0.054000000000000006,0.0,4.0,0,0
88,12000.0,1,0.1629,D,D1,9.0,88365.0,debt_consolidation,AZ,0.1685,0.0,6.0,0,0
89,12000.0,1,0.1349,C,C1,4.0,72000.0,debt_consolidation,CA,0.2133,1.0,11.0,0,0
90,12000.0,1,0.1065,B,B2,0.0,62000.0,credit_card,TX,0.2394,0.0,10.0,0,0
91,7000.0,1,0.1065,B,B2,3.0,43680.0,credit_card,MN,0.0538,0.0,7.0,0,0
92,8200.0,0,0.1942,E,E3,3.0,120000.0,debt_consolidation,NY,0.027999999999999997,2.0,5.0,0,0
93,10500.0,1,0.12689999999999999,B,B5,10.0,66000.0,medical,CA,0.2073,2.0,8.0,0,0
94,7000.0,1,0.11710000000000001,B,B3,4.0,39120.0,debt_consolidation,FL,0.2101,0.0,8.0,0,0
96,20000.0,0,0.11710000000000001,B,B3,4.0,47800.0,debt_consolidation,VA,0.10039999999999999,0.0,15.0,0,0
97,17500.0,0,0.1727,D,D3,7.0,45000.0,credit_card,WA,0.21309999999999998,2.0,13.0,0,1
98,3500.0,1,0.0603,A,A1,10.0,83000.0,car,IL,0.0231,0.0,6.0,0,0
100,6200.0,1,0.09910000000000001,B,B1,2.0,25000.0,debt_consolidation,CA,0.2064,2.0,7.0,0,1
101,16000.0,0,0.17579999999999998,D,D4,7.0,65000.0,debt_consolidation,KS,0.15560000000000002,0.0,8.0,0,0
102,6000.0,1,0.08900000000000001,A,A5,8.0,28800.0,debt_consolidation,NJ,0.1317,0.0,11.0,0,0
103,7200.0,1,0.09910000000000001,B,B1,6.0,135000.0,credit_card,NY,0.061200000000000004,0.0,7.0,0,0
104,9500.0,1,0.08900000000000001,A,A5,7.0,50000.0,credit_card,TX,0.0818,0.0,8.0,0,0
105,18825.0,0,0.1677,D,D2,10.0,38000.0,debt_consolidation,TX,0.2318,0.0,6.0,0,1
106,24000.0,1,0.1065,B,B2,10.0,45000.0,debt_consolidation,CA,0.14800000000000002,0.0,5.0,0,0
107,6000.0,1,0.1349,C,C1,10.0,80000.0,debt_consolidation,CA,0.1158,0.0,8.0,0,0
108,6000.0,1,0.1349,C,C1,5.0,50000.0,debt_consolidation,AZ,0.15380000000000002,1.0,6.0,0,0
109,2100.0,1,0.1242,B,B4,10.0,30000.0,vacation,LA,0.1972,1.0,12.0,0,0
110,5500.0,1,0.0662,A,A2,8.0,110000.0,small_business,CT,0.0969,0.0,7.0,0,0
111,11000.0,1,0.0662,A,A2,8.0,45608.0,debt_consolidation,LA,0.205,0.0,7.0,0,0
112,26800.0,0,0.2089,F,F1,3.0,120000.0,debt_consolidation,FL,0.1215,0.0,13.0,0,0
113,8000.0,1,0.12689999999999999,B,B5,5.0,35000.0,debt_consolidation,IL,0.1005,0.0,7.0,0,0
114,10000.0,1,0.1825,D,D5,1.0,75000.0,credit_card,CA,0.2414,0.0,9.0,0,1
115,8000.0,1,0.11710000000000001,B,B3,9.0,35000.0,credit_card,NV,0.09699999999999999,0.0,7.0,0,0
116,10000.0,1,0.08900000000000001,A,A5,6.0,24000.0,debt_consolidation,CA,0.07,0.0,6.0,0,0
117,12000.0,1,0.11710000000000001,B,B3,2.0,126000.0,debt_consolidation,OH,0.1332,0.0,17.0,0,0
118,10000.0,1,0.079,A,A4,1.0,43000.0,debt_consolidation,CA,0.2526,0.0,8.0,0,0
119,12000.0,1,0.09910000000000001,B,B1,1.0,50000.0,debt_consolidation,CA,0.16440000000000002,1.0,11.0,0,0
120,25000.0,0,0.1349,C,C1,10.0,67000.0,credit_card,AK,0.14150000000000001,0.0,6.0,0,1
121,19750.0,1,0.1065,B,B2,4.0,45000.0,debt_consolidation,OR,0.228,0.0,12.0,0,1
122,10000.0,1,0.09910000000000001,B,B1,3.0,31200.0,debt_consolidation,NY,0.1481,0.0,13.0,0,0
123,13650.0,1,0.1242,B,B4,4.0,66000.0,debt_consolidation,NV,0.2409,0.0,11.0,0,0
124,28000.0,0,0.1991,E,E4,10.0,52000.0,debt_consolidation,TX,0.207,0.0,10.0,0,1
125,18000.0,1,0.079,A,A4,10.0,56964.0,debt_consolidation,CA,0.2755,0.0,7.0,0,0
126,2500.0,1,0.1427,C,C2,7.0,49500.0,debt_consolidation,FL,0.1033,1.0,7.0,0,0
127,21000.0,0,0.203,E,E5,10.0,70000.0,credit_card,CO,0.2321,2.0,17.0,0,0
128,35000.0,1,0.08900000000000001,A,A5,6.0,125000.0,debt_consolidation,CA,0.2271,0.0,8.0,0,0
129,10000.0,1,0.0751,A,A3,3.0,33000.0,credit_card,NJ,0.0975,1.0,9.0,0,0
130,7000.0,1,0.12689999999999999,B,B5,0.0,30000.0,credit_card,VA,0.158,2.0,7.0,0,0
131,24000.0,1,0.15960000000000002,C,C5,8.0,90000.0,home_improvement,CA,0.0917,1.0,9.0,0,1
132,10625.0,1,0.0751,A,A3,5.0,23000.0,medical,OR,0.1889,1.0,9.0,0,0
133,5000.0,1,0.1465,C,C3,2.0,24000.0,debt_consolidation,PA,0.183,2.0,5.0,0,0
134,8850.0,1,0.0662,A,A2,10.0,62000.0,credit_card,MD,0.1771,0.0,7.0,0,0
135,6375.0,1,0.0751,A,A3,4.0,44000.0,debt_consolidation,GA,0.048,0.0,7.0,0,0
136,6000.0,1,0.11710000000000001,B,B3,1.0,90000.0,credit_card,NJ,0.0297,0.0,10.0,0,0
137,11100.0,1,0.0662,A,A2,10.0,41000.0,credit_card,PA,0.2985,1.0,8.0,0,1
138,10000.0,0,0.12689999999999999,B,B5,2.0,56000.0,debt_consolidation,CA,0.1082,1.0,11.0,0,0
139,6200.0,1,0.0603,A,A1,5.0,26500.0,small_business,WV,0.182,0.0,6.0,0,0
140,15000.0,1,0.1864,E,E1,1.0,54000.0,debt_consolidation,GA,0.19690000000000002,2.0,9.0,0,0
141,4200.0,1,0.11710000000000001,B,B3,2.0,53000.0,other,MD,0.1691,0.0,15.0,0,0
142,14000.0,1,0.1427,C,C2,4.0,52800.0,debt_consolidation,CA,0.0736,1.0,9.0,0,0
143,8875.0,1,0.0751,A,A3,1.0,38000.0,debt_consolidation,GA,0.2353,1.0,13.0,0,0
144,13500.0,1,0.09910000000000001,B,B1,7.0,38000.0,debt_consolidation,CA,0.12380000000000001,1.0,3.0,0,0
145,12000.0,1,0.09910000000000001,B,B1,2.0,42000.0,debt_consolidation,MN,0.0783,2.0,8.0,0,1
146,16000.0,0,0.1991,E,E4,4.0,55000.0,debt_consolidation,WA,0.158,0.0,8.0,0,0
147,21600.0,0,0.1942,E,E3,8.0,60000.0,debt_consolidation,GA,0.1674,0.0,6.0,0,0
148,6000.0,1,0.1065,B,B2,6.0,87000.0,home_improvement,NJ,0.1286,0.0,12.0,0,0
149,8450.0,0,0.1677,D,D2,5.0,25000.0,debt_consolidation,IL,0.22510000000000002,2.0,6.0,0,0
150,20000.0,0,0.1349,C,C1,1.0,82000.0,credit_card,OH,0.17679999999999998,0.0,13.0,0,0
151,10000.0,1,0.11710000000000001,B,B3,8.0,60000.0,debt_consolidation,CA,0.2208,0.0,8.0,0,1
152,12000.0,1,0.1629,D,D1,5.0,80000.0,credit_card,GA,0.1818,0.0,8.0,0,0
153,13475.0,0,0.1349,C,C1,10.0,25000.0,credit_card,CA,0.2189,1.0,7.0,0,1
154,7200.0,1,0.1242,B,B4,5.0,48000.0,major_purchase,IL,0.1743,1.0,7.0,0,0
155,5600.0,1,0.1465,C,C3,1.0,85000.0,debt_consolidation,AZ,0.12240000000000001,3.0,8.0,0,1
156,12000.0,1,0.1427,C,C2,0.0,57000.0,debt_consolidation,CA,0.10859999999999999,1.0,7.0,0,0
157,8500.0,1,0.0603,A,A1,2.0,25000.0,credit_card,MD,0.0173,0.0,6.0,0,0
158,8000.0,1,0.09910000000000001,B,B1,2.0,34000.0,credit_card,PA,0.18280000000000002,0.0,6.0,0,0
159,8000.0,1,0.1242,B,B4,10.0,40000.0,credit_card,OR,0.15,0.0,10.0,0,0
160,16000.0,0,0.1527,C,C4,10.0,42656.4,debt_consolidation,GA,0.1744,1.0,4.0,0,0
161,15000.0,1,0.1727,D,D3,2.0,44400.0,house,FL,0.0359,0.0,6.0,1,0
162,10000.0,1,0.09910000000000001,B,B1,2.0,30000.0,debt_consolidation,VT,0.1124,1.0,8.0,0,0
163,10000.0,1,0.0662,A,A2,5.0,70000.0,credit_card,NY,0.1678,0.0,9.0,0,0
164,8000.0,1,0.1465,C,C3,3.0,28000.0,car,CA,0.126,1.0,8.0,0,0
165,22000.0,1,0.09910000000000001,B,B1,2.0,50000.0,debt_consolidation,MI,0.1322,4.0,17.0,0,0
166,6000.0,1,0.1427,C,C2,10.0,94800.0,car,TX,0.24530000000000002,1.0,13.0,0,0
167,16000.0,0,0.09910000000000001,B,B1,10.0,40000.0,debt_consolidation,FL,0.09390000000000001,1.0,6.0,0,0
168,2500.0,1,0.0751,A,A3,4.0,12000.0,debt_consolidation,CA,0.163,2.0,13.0,0,1
169,13500.0,1,0.09910000000000001,B,B1,2.0,36000.0,credit_card,DC,0.2293,1.0,13.0,0,0
170,25000.0,1,0.1242,B,B4,2.0,225000.0,debt_consolidation,NJ,0.0832,0.0,11.0,0,0
171,10000.0,1,0.1349,C,C1,2.0,45900.0,small_business,CA,0.24969999999999998,2.0,10.0,0,0
172,2500.0,1,0.1349,C,C1,4.0,27200.0,debt_consolidation,WA,0.0644,0.0,6.0,0,0
173,7325.0,1,0.12689999999999999,B,B5,1.0,42000.0,debt_consolidation,FL,0.2257,3.0,12.0,0,0
174,4000.0,1,0.1242,B,B4,5.0,135000.0,credit_card,NY,0.12119999999999999,3.0,11.0,0,0
175,10000.0,1,0.1349,C,C1,5.0,65000.0,small_business,CA,0.0692,2.0,12.0,0,1
176,7750.0,1,0.1727,D,D3,0.0,24000.0,debt_consolidation,IL,0.161,1.0,4.0,0,1
177,20000.0,0,0.2089,F,F1,6.0,70000.0,debt_consolidation,FL,0.1663,1.0,10.0,0,1
178,9600.0,1,0.1242,B,B4,10.0,65000.0,debt_consolidation,NY,0.1165,0.0,6.0,0,0
179,21000.0,0,0.11710000000000001,B,B3,3.0,60000.0,debt_consolidation,CA,0.0662,0.0,7.0,0,1
180,14000.0,1,0.1065,B,B2,3.0,30000.0,credit_card,CT,0.1552,0.0,7.0,0,0
181,13350.0,1,0.1242,B,B4,10.0,43000.0,debt_consolidation,CA,0.2057,0.0,7.0,0,0
182,15000.0,1,0.1677,D,D2,10.0,42000.0,debt_consolidation,WI,0.1963,2.0,10.0,0,1
183,15000.0,1,0.1727,D,D3,8.0,75000.0,debt_consolidation,CA,0.1603,0.0,10.0,0,1
184,11000.0,0,0.1349,C,C1,10.0,129000.0,debt_consolidation,CA,0.1094,0.0,10.0,0,0
185,35000.0,1,0.1065,B,B2,2.0,168000.0,debt_consolidation,TX,0.0317,1.0,16.0,0,0
186,9000.0,1,0.1065,B,B2,9.0,74000.0,credit_card,SD,0.0889,0.0,7.0,0,0
187,22475.0,0,0.1527,C,C4,7.0,52000.0,debt_consolidation,NH,0.1523,1.0,7.0,0,0
188,16000.0,1,0.12689999999999999,B,B5,1.0,58500.0,debt_consolidation,IL,0.2064,0.0,8.0,0,1
189,13500.0,1,0.12689999999999999,B,B5,5.0,71000.0,debt_consolidation,VA,0.1197,2.0,4.0,0,0
190,24000.0,1,0.12689999999999999,B,B5,10.0,75000.0,debt_consolidation,WA,0.11599999999999999,0.0,10.0,0,0
191,12000.0,1,0.1065,B,B2,5.0,60000.0,credit_card,CA,0.1084,1.0,12.0,0,0
192,8400.0,0,0.1677,D,D2,5.0,87996.0,major_purchase,NY,0.11349999999999999,0.0,8.0,0,0
193,28000.0,0,0.17579999999999998,D,D4,5.0,140000.0,home_improvement,NC,0.1207,1.0,13.0,0,0
194,14000.0,1,0.0662,A,A2,10.0,66000.0,debt_consolidation,VA,0.1115,1.0,7.0,0,0
195,12000.0,1,0.1427,C,C2,8.0,70000.0,other,NY,0.084,1.0,7.0,0,1
196,25000.0,1,0.11710000000000001,B,B3,10.0,100000.0,debt_consolidation,RI,0.0688,1.0,8.0,0,0
197,9000.0,1,0.12689999999999999,B,B5,5.0,50000.0,debt_consolidation,NY,0.17809999999999998,1.0,13.0,0,0
198,13250.0,1,0.1065,B,B2,4.0,35000.0,debt_consolidation,OH,0.2493,2.0,11.0,0,0
199,20000.0,1,0.1349,C,C1,6.0,75000.0,debt_consolidation,CA,0.2238,1.0,7.0,0,0
200,3000.0,1,0.1465,C,C3,5.0,71000.0,medical,WI,0.2184,1.0,4.0,0,0
201,7350.0,1,0.1065,B,B2,10.0,48000.0,debt_consolidation,AR,0.1193,0.0,5.0,0,0
202,11500.0,1,0.1527,C,C4,5.0,36000.0,debt_consolidation,FL,0.21100000000000002,1.0,7.0,0,0
203,13650.0,1,0.1242,B,B4,10.0,86000.0,debt_consolidation,CA,0.1229,1.0,12.0,0,1
204,10500.0,1,0.1629,D,D1,3.0,30000.0,debt_consolidation,CA,0.15,1.0,7.0,0,1
205,12000.0,1,0.09910000000000001,B,B1,2.0,60000.0,debt_consolidation,CA,0.155,0.0,7.0,0,0
206,6000.0,1,0.08900000000000001,A,A5,3.0,34000.0,credit_card,OH,0.1451,2.0,9.0,0,0
207,11500.0,1,0.1527,C,C4,10.0,44200.0,credit_card,CA,0.2169,1.0,9.0,0,0
208,7000.0,1,0.1242,B,B4,7.0,82000.0,debt_consolidation,MD,0.12,1.0,6.0,0,0
209,29500.0,0,0.203,E,E5,6.0,83000.0,debt_consolidation,NM,0.20929999999999999,0.0,12.0,0,0
210,2000.0,1,0.1527,C,C4,2.0,41000.0,moving,TX,0.17739999999999997,1.0,7.0,0,0
211,11625.0,1,0.1349,C,C1,0.0,36000.0,credit_card,KS,0.19329999999999997,1.0,17.0,0,0
212,15075.0,1,0.1427,C,C2,10.0,35000.0,debt_consolidation,TX,0.2016,1.0,7.0,0,1
213,5300.0,1,0.1527,C,C4,1.0,30000.0,credit_card,CT,0.2488,2.0,11.0,0,0
214,8200.0,1,0.0662,A,A2,0.0,40000.0,home_improvement,PA,0.111,1.0,7.0,0,0
215,12000.0,1,0.1242,B,B4,9.0,105000.0,credit_card,TX,0.1398,1.0,10.0,0,0
216,8650.0,1,0.1427,C,C2,4.0,45000.0,credit_card,FL,0.076,2.0,14.0,0,0
217,21000.0,0,0.1727,D,D3,10.0,109000.0,debt_consolidation,NJ,0.0775,0.0,9.0,0,0
219,12000.0,1,0.1242,B,B4,2.0,83000.0,debt_consolidation,CA,0.11810000000000001,2.0,14.0,0,0
220,9500.0,1,0.12689999999999999,B,B5,0.0,52500.0,moving,CA,0.2354,2.0,14.0,0,1
221,7400.0,1,0.1349,C,C1,0.0,25000.0,debt_consolidation,AZ,0.08449999999999999,0.0,5.0,0,0
222,14400.0,1,0.1349,C,C1,10.0,60000.0,debt_consolidation,FL,0.16920000000000002,1.0,15.0,0,0
223,24250.0,0,0.2391,G,G4,7.0,120000.0,debt_consolidation,AZ,0.12960000000000002,3.0,7.0,0,0
224,7200.0,1,0.079,A,A4,3.0,68000.0,debt_consolidation,GA,0.07980000000000001,0.0,5.0,0,1
225,26000.0,0,0.1677,D,D2,10.0,53000.0,home_improvement,NC,0.1177,1.0,5.0,0,1
226,7000.0,0,0.11710000000000001,B,B3,6.0,69600.0,credit_card,WA,0.2622,0.0,10.0,0,1
227,4000.0,1,0.0751,A,A3,0.0,65000.0,major_purchase,CA,0.18170000000000003,0.0,10.0,0,0
228,1500.0,1,0.1727,D,D3,10.0,144000.0,debt_consolidation,CA,0.0823,0.0,6.0,0,0
229,19600.0,1,0.1242,B,B4,2.0,75000.0,credit_card,NY,0.1162,0.0,8.0,0,0
230,2500.0,1,0.11710000000000001,B,B3,7.0,29000.0,debt_consolidation,AZ,0.187,0.0,5.0,0,0
231,10000.0,1,0.12689999999999999,B,B5,2.0,70000.0,credit_card,CA,0.0269,0.0,5.0,0,1
232,10000.0,1,0.0662,A,A2,5.0,45000.0,credit_card,OH,0.2685,0.0,15.0,0,0
233,4225.0,1,0.1242,B,B4,5.0,55200.0,other,WA,0.1761,1.0,6.0,0,0
234,3500.0,1,0.079,A,A4,7.0,61440.0,vacation,CA,0.0646,0.0,6.0,0,0
235,12000.0,1,0.0662,A,A2,10.0,56000.0,debt_consolidation,FL,0.1365,0.0,7.0,0,0
236,16500.0,1,0.08900000000000001,A,A5,0.0,47000.0,debt_consolidation,IL,0.0906,1.0,6.0,0,0
237,22000.0,0,0.2167,F,F3,0.0,55000.0,debt_consolidation,WA,0.1562,1.0,9.0,0,0
238,12000.0,1,0.1465,C,C3,1.0,71000.0,credit_card,KS,0.1487,2.0,15.0,0,0
239,15600.0,0,0.12689999999999999,B,B5,10.0,50000.0,vacation,NY,0.057800000000000004,1.0,8.0,0,1
240,10800.0,1,0.1242,B,B4,8.0,135000.0,credit_card,CA,0.12119999999999999,0.0,14.0,0,0
241,14000.0,1,0.1242,B,B4,10.0,63000.0,credit_card,GA,0.0735,0.0,5.0,0,0
243,6000.0,1,0.1349,C,C1,5.0,50000.0,debt_consolidation,NM,0.1558,1.0,8.0,0,0
244,12000.0,1,0.09910000000000001,B,B1,5.0,80000.0,debt_consolidation,TX,0.1483,0.0,11.0,0,0
245,10000.0,1,0.1242,B,B4,4.0,45000.0,debt_consolidation,WA,0.1045,0.0,14.0,0,0
246,8000.0,1,0.079,A,A4,2.0,78000.0,vacation,NY,0.060899999999999996,1.0,16.0,0,0
247,14125.0,1,0.09910000000000001,B,B1,1.0,33000.0,debt_consolidation,OR,0.23129999999999998,3.0,12.0,0,0
248,14000.0,1,0.12689999999999999,B,B5,5.0,62800.0,debt_consolidation,WA,0.1924,1.0,10.0,0,0
249,13200.0,0,0.1727,D,D3,3.0,26400.0,small_business,TX,0.0964,3.0,8.0,0,0
250,4000.0,1,0.19030000000000002,E,E2,10.0,80000.0,vacation,NC,0.2059,2.0,30.0,0,0
251,4000.0,1,0.12689999999999999,B,B5,2.0,25000.0,debt_consolidation,CO,0.06860000000000001,3.0,5.0,0,1
252,10500.0,1,0.0603,A,A1,10.0,65000.0,debt_consolidation,TX,0.1036,0.0,8.0,0,0
